"","id.01","LOG10N0","LOG10Nmax","mumax","lag","AIC","atmum","community","Nutrient","Temp","BioRep"
"24","meso-oligo:WHM_5N:22:6",5.55643663829998,0.5,0.240008398627508,8,-15.0237572520444,5.50008748264182,"meso-oligo","WHM_5N","22","6"
"25","meso:WHM_5P:18:1",4.6950707204047,5.28823806426802,0.203689218512324,8,-16.5117731798586,42.0379193501891,"meso","WHM_5P","18","1"
"26","meso:WHM_5P:18:2",4.50111036031032,5.40686084148841,0.115674046900433,0.5,-9.91447174174721,58.7612147986586,"meso","WHM_5P","18","2"
"27","meso:WHM_5P:18:3",4.52571299512077,5.50963993879372,0.108830249950124,0.5,-6.26165651008075,61.017841430303,"meso","WHM_5P","18","3"
"28","meso:WHM_5P:22:4",4.78122286505586,5.31639426352832,0.214008930785163,8,-6.39326198658355,40.1731850922461,"meso","WHM_5P","22","4"
"29","meso:WHM_5P:22:5",4.51596097711962,5.46526277896938,0.117978531875905,0.5,-22.7030378808194,56.8723444486811,"meso","WHM_5P","22","5"
"30","meso:WHM_5P:22:6",4.83684690456474,5.31997091504404,0.178045864524084,8,7.43220619872934,46.6381284241641,"meso","WHM_5P","22","6"
"31","meso-oligo:WHM_5P:18:1",5.41341089926024,0.5,0.0841533165313421,3.93423353759501,-4.58794142295009,-3.19561023720781,"meso-oligo","WHM_5P","18","1"
"32","meso-oligo:WHM_5P:18:2",5.3919719226723,4.31696472754848,0.159378016521396,8,8.90092961363165,69.7017091000781,"meso-oligo","WHM_5P","18","2"
"33","meso-oligo:WHM_5P:18:3",4.75478312591058,5.28876424833994,0.228189625486571,3.19135307617589,-9.59274050711942,33.5707051149309,"meso-oligo","WHM_5P","18","3"
"34","meso-oligo:WHM_5P:22:4",4.84416808675705,5.43602140477991,0.108176164512281,0.854750789686495,-16.1591227848372,62.7403690079373,"meso-oligo","WHM_5P","22","4"
"35","meso-oligo:WHM_5P:22:5",4.89140371017723,5.57169697702343,0.0892509553731036,0.5,-6.40280239477653,73.3242592039568,"meso-oligo","WHM_5P","22","5"
"36","meso-oligo:WHM_5P:22:6",5.01334970957425,5.54038179846366,0.0748556513721802,4.27640245506492,-15.6271279978452,91.6816208561252,"meso-oligo","WHM_5P","22","6"
